preference,normalize_tokenize
"I’m interested in a Master of Science in Computer Science, ideally in Berlin, where I can gain exposure to cutting-edge AI technologies.","['interested', 'master', 'science', 'computer', 'science', 'berlin', 'gain', 'exposure', 'cutting-edge', 'ai', 'technology']"
A Master of Arts in Business Administration with an international focus would align perfectly with my career goals in global management.,"['master', 'art', 'business', 'administration', 'international', 'focus', 'would', 'align', 'career', 'goal', 'global', 'management']"
"I’m looking for a Master of Science in Environmental Science in Hamburg, especially one that emphasizes sustainability and climate research.","['look', 'master', 'science', 'environmental', 'science', 'hamburg', 'one', 'emphasize', 'sustainability', 'climate', 'research']"
Studying Media Informatics in Munich in an international Master’s program would help me merge creativity and technology.,"['study', 'medium', 'informatics', 'munich', 'international', 'master', '’', 'program', 'would', 'help', 'merge', 'creativity', 'technology']"
"I’m keen on pursuing a Master of Engineering in Maritime Engineering in Kiel, as I want to specialize in ship design and ocean technologies.","['keen', 'pursue', 'master', 'engineering', 'maritime', 'engineering', 'kiel', 'want', 'specialize', 'ship', 'design', 'ocean', 'technology']"
An English-taught Master of Science in Data Science in Berlin would be perfect for honing my analytical and programming skills.,"['english-taught', 'master', 'science', 'data', 'science', 'berlin', 'would', 'perfect', 'hone', 'analytical', 'program', 'skill']"
"I’d love to enroll in a Master of Arts in Linguistics in Cologne, particularly in a program that explores multilingualism and communication.","['would', 'love', 'enroll', 'master', 'art', 'linguistics', 'cologne', 'program', 'explore', 'multilingualism', 'communication']"
Pursuing a Master of Education in Educational Technology in Hamburg would help me integrate innovative tools into modern teaching practices.,"['pursue', 'master', 'education', 'educational', 'technology', 'hamburg', 'would', 'help', 'integrate', 'innovative', 'tool', 'modern', 'teaching', 'practice']"
A part-time Master of Science in Business Analytics in Frankfurt would allow me to study while continuing to work in my current role.,"['part-time', 'master', 'science', 'business', 'analytics', 'frankfurt', 'would', 'allow', 'study', 'continue', 'work', 'current', 'role']"
"I’m fascinated by the idea of studying Aeronautical Engineering in Munich, ideally in a Master’s program that focuses on future aircraft technologies.","['fascinate', 'idea', 'study', 'aeronautical', 'engineering', 'munich', 'master', '’', 'program', 'focus', 'future', 'aircraft', 'technology']"
"I’m searching for a Master’s in Biotechnology in Heidelberg, a hub for cutting-edge research in the life sciences.","['search', 'master', '’', 'biotechnology', 'heidelberg', 'hub', 'cutting-edge', 'research', 'life', 'science']"
"A Master of Science in Cybersecurity in Stuttgart, especially in a program focused on practical applications, would be an excellent fit for me.","['master', 'science', 'cybersecurity', 'stuttgart', 'program', 'focus', 'practical', 'application', 'would', 'excellent', 'fit']"
"I’d like to pursue a Master of Arts in International Relations in Bonn, where I can specialize in global governance and diplomacy.","['would', 'like', 'pursue', 'master', 'art', 'international', 'relation', 'bonn', 'specialize', 'global', 'governance', 'diplomacy']"
